Division,School,Number_of_Students_Missing_10%_or_More_of_the_Days_Enrolled,Number_of_Students_Enrolled_for_Half_the_Year_or_More,Chronic_Absenteeism_Rate,Dropouts,Students_in_the_Cohort,Cohort_Dropout_Rate,Diplomas,GEDs,Certificates_of_Completion,Still_Enrolled,Graduation_Completion_Index,End_of_Year_Average_Daily_Membership,School_Level_Expenditures_Per_Pupil_Federal,School_Level_Expenditures_Per_Pupil_State,School_Level_Expenditures_Per_Pupil_Subtotal,Division_Level_Expenditures_Per_Pupil_Federal,Division_Level_Expenditures_Per_Pupil_State,Division_Level_Expenditures_Per_Pupil_Subtotal,Total_Per_Pupil_Expenditures,Per_Pupil_Exclusions,Total_Expenditures,Per_Pupil_Federal_Funds,Per_Pupil_State_Funds,Poverty_Level,Percent_of_Inexperienced_Teachers,Percent_of_Out_of_Field_Teachers,Percent_of_Out_of_Field_and_Inexperienced_Teachers,NCES_School_ID,State_School_ID,NCES_District_ID,State_District_ID,Low_Grade*,High_Grade*,County_Name*,Street_Address,City,State,ZIP,Final_Location_,Latitude,Longitude,ZIP_4_digit,Phone,Locale_Code*,Locale*,Charter,Magnet*,Title_I_School*,Title_1_School_Wide*,Students*,Teachers*,Student_Teacher_Ratio*,Free_Lunch*,Reduced_Lunch*,Directly_Certified*,Type,Status,county,CENSUSTRACT_FIPS,SDI_score,PovertyLT100_FPL_score,Single_Parent_Fam_score,Education_LT12years_score,HHNo_Vehicle_score,HHRenter_Occupied_score,HHCrowding_score,Nonemployed_score,sdi,pct_Poverty_LT100,pct_Single_Parent_Fam,pct_Education_LT12years,pct_NonEmployed,pctHH_No_Vehicle,pctHH_Renter_Occupied,pctHH_Crowding,CensusTract_population
Lynchburg City Public Schools,DEARINGTON ELEMENTARY/INNOVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,510234002205,VA-115-1150070,5102340,VA-115,PK,5,Lynchburg city,210 Smyth St,Lynchburg,VA,24501,Lynchburg city 210 Smyth St Lynchburg VA 24501,,,1539.0,(434)515-5220,13,City: Small,No,Yes,Yes,Yes,144,16.84,8.55,141,0,–,Regular,Open,lynchburg city,51680,69.73684211,73.73684211,65.89473684,53.42105263,72.36842105,76.26315789,32.73684211,52.21052632,0.6145243014,0.2301213229,0.2160872806,0.1156115026,0.06429769665,0.1390859397,0.5434825126,0.01387295279,80131
Lynchburg City Public Schools,E.C. GLASS HIGH,,,,,,,,,,,,,,,,,,,,,,,,,,,,510234000956,VA-115-1150260,5102340,VA-115,9,12,Lynchburg city,2111 Memorial Ave,Lynchburg,VA,24501,Lynchburg city 2111 Memorial Ave Lynchburg VA 24501,,,5599.0,(434)515-5370,13,City: Small,No,No,No,†,1359,114.86,11.83,600,79,–,Regular,Open,lynchburg city,51680,69.73684211,73.73684211,65.89473684,53.42105263,72.36842105,76.26315789,32.73684211,52.21052632,0.6145243014,0.2301213229,0.2160872806,0.1156115026,0.06429769665,0.1390859397,0.5434825126,0.01387295279,80131
Lynchburg City Public Schools,LYNCHBURG REGIONAL GOVERNOR'S STEM ACADEMY,,,,,,,,,,,,,,,,,,,,,,,,,,,,510234002976,VA-115-1150380,5102340,VA-115,†,†,Lynchburg city,Central VA Community College,Lynchburg,VA,24502,Lynchburg city Central VA Community College Lynchburg VA 24502,,,,(434)832-7731,13,City: Small,No,No,No,†,†,–,†,†,†,†,Vocational,Open,lynchburg city,51680,69.73684211,73.73684211,65.89473684,53.42105263,72.36842105,76.26315789,32.73684211,52.21052632,0.6145243014,0.2301213229,0.2160872806,0.1156115026,0.06429769665,0.1390859397,0.5434825126,0.01387295279,80131
Lynchburg City Public Schools,PAUL LAURENCE DUNBAR MIDDLE FOR INNOVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,510234000955,VA-115-1150170,5102340,VA-115,6,8,Lynchburg city,1200 1208 Polk St,Lynchburg,VA,24504,Lynchburg city 1200 1208 Polk St Lynchburg VA 24504,,,3149.0,(434)515-5310,13,City: Small,No,Yes,No,†,554,55.8,9.93,551,0,–,Regular,Open,lynchburg city,51680,69.73684211,73.73684211,65.89473684,53.42105263,72.36842105,76.26315789,32.73684211,52.21052632,0.6145243014,0.2301213229,0.2160872806,0.1156115026,0.06429769665,0.1390859397,0.5434825126,0.01387295279,80131
Madison County Public Schools,MADISON COUNTY HIGH,127.0,544.0,23.35,5,142,3.52,130,6,0,3,94.9,545.6,1036.0,9597.0,10634.0,10.0,2490.0,2500.0,13134.0,294291.0,7165689.0,1046.0,12087.0,Medium Poverty,2.2,8.7,0.0,510237000972,VA-056-0560221,5102370,VA-056,9,12,Madison County,68 Mountaineer Lane,Madison,VA,22727,Madison County 68 Mountaineer Lane Madison VA 22727,,,,(540)948-3785,42,Rural: Distant,No,No,No,†,556,39.3,14.15,167,55,–,Regular,Open,madison county,51113,43.5,38.0,25.0,64.0,44.5,43.5,58.5,47.0,-0.2242400555,0.0865823325,0.066833503,0.133212095,0.0518222285,0.041253278,0.270802745,0.028343606,13139
Madison County Public Schools,MADISON PRIMARY,85.0,337.0,25.22,,,,,,,,,346.57,3310.0,10246.0,13556.0,10.0,2490.0,2500.0,16056.0,1617.0,5564447.0,3320.0,12736.0,Medium Poverty,0.0,3.4,0.0,510237000973,VA-056-0560230,5102370,VA-056,PK,2,Madison County,158 Primary School Drive,Madison,VA,22727,Madison County 158 Primary School Drive Madison VA 22727,,,,(540)948-3781,42,Rural: Distant,No,No,Yes,Yes,324,23.5,13.79,125,32,–,Regular,Open,madison county,51113,43.5,38.0,25.0,64.0,44.5,43.5,58.5,47.0,-0.2242400555,0.0865823325,0.066833503,0.133212095,0.0518222285,0.041253278,0.270802745,0.028343606,13139
Madison County Public Schools,WAVERLY YOWELL ELEMENTARY,56.0,330.0,16.97,,,,,,,,,350.06,2172.0,8914.0,11085.0,10.0,2490.0,2500.0,13585.0,0.0,4755633.0,2182.0,11404.0,Medium Poverty,10.3,13.8,6.9,510237000974,VA-056-0560200,5102370,VA-056,3,5,Madison County,1809 North Main Street,Madison,VA,22727,Madison County 1809 North Main Street Madison VA 22727,,,,(540)948-4511,42,Rural: Distant,No,No,Yes,Yes,351,24.5,14.33,133,33,–,Regular,Open,madison county,51113,43.5,38.0,25.0,64.0,44.5,43.5,58.5,47.0,-0.2242400555,0.0865823325,0.066833503,0.133212095,0.0518222285,0.041253278,0.270802745,0.028343606,13139
Madison County Public Schools,WILLIAM H. WETSEL MIDDLE,86.0,396.0,21.72,,,,,,,,,387.58,1775.0,8449.0,10224.0,10.0,2490.0,2500.0,12724.0,155624.0,4931508.0,1785.0,10939.0,Medium Poverty,5.4,21.6,2.7,510237000975,VA-056-0560222,5102370,VA-056,6,8,Madison County,186 Mountaineer Lane,Madison,VA,22727,Madison County 186 Mountaineer Lane Madison VA 22727,,,,(540)948-3783,42,Rural: Distant,No,No,No,†,388,31.2,12.44,151,46,–,Regular,Open,madison county,51113,43.5,38.0,25.0,64.0,44.5,43.5,58.5,47.0,-0.2242400555,0.0865823325,0.066833503,0.133212095,0.0518222285,0.041253278,0.270802745,0.028343606,13139
Manassas City Public Schools,BALDWIN ELEMENTARY,126.0,633.0,19.91,,,,,,,,,624.89,1115.0,11822.0,12937.0,174.0,2122.0,2296.0,15233.0,593275.0,9518779.0,1289.0,13944.0,Medium Poverty,10.5,5.3,5.3,510236000976,VA-143-1430470,5102360,VA-143,PK,4,Manassas city,1978 Eagle Way,Manassas,VA,20110,Manassas city 1978 Eagle Way Manassas VA 20110,,,5799.0,(571)377-6100,21,Suburb: Large,No,No,Yes,Yes,582,43.75,13.3,327,54,–,Regular,Open,manassas city,51683,48.57142857,34.14285714,46.85714286,70.0,38.28571429,53.85714286,49.42857143,53.42857143,-0.073691635,0.08063421271,0.1217117527,0.1655566539,0.06015079643,0.03926545643,0.3429615643,0.03365987029,41457
Manassas City Public Schools,BALDWIN INTERMEDIATE,50.0,259.0,19.31,,,,,,,,,271.84,820.0,12038.0,12858.0,174.0,2122.0,2296.0,15154.0,12376.0,4119402.0,994.0,14160.0,Medium Poverty,0.0,10.0,0.0,510236003034,VA-143-1430471,5102360,VA-143,5,6,Manassas city,1978 Eagle Way,Manassas,VA,20110,Manassas city 1978 Eagle Way Manassas VA 20110,,,,(571)921-8000,21,Suburb: Large,No,No,No,†,274,18.82,14.56,173,26,–,Regular,Open,manassas city,51683,48.57142857,34.14285714,46.85714286,70.0,38.28571429,53.85714286,49.42857143,53.42857143,-0.073691635,0.08063421271,0.1217117527,0.1655566539,0.06015079643,0.03926545643,0.3429615643,0.03365987029,41457
Manassas City Public Schools,GEORGE CARR ROUND ELEMENTARY,93.0,490.0,18.98,,,,,,,,,521.98,695.0,14317.0,15012.0,174.0,2122.0,2296.0,17308.0,580146.0,9034329.0,869.0,16439.0,Medium Poverty,3.0,0.0,0.0,510236002067,VA-143-1430060,5102360,VA-143,PK,4,Manassas city,10100 Hastings Dr,Manassas,VA,20110,Manassas city 10100 Hastings Dr Manassas VA 20110,,,6092.0,(571)377-6400,21,Suburb: Large,No,No,Yes,Yes,469,36,13.03,302,40,–,Regular,Open,manassas city,51683,48.57142857,34.14285714,46.85714286,70.0,38.28571429,53.85714286,49.42857143,53.42857143,-0.073691635,0.08063421271,0.1217117527,0.1655566539,0.06015079643,0.03926545643,0.3429615643,0.03365987029,41457
Manassas City Public Schools,JENNIE DEAN ELEMENTARY,136.0,581.0,23.41,,,,,,,,,604.03,1107.0,14109.0,15216.0,174.0,2122.0,2296.0,17512.0,378999.0,10577580.0,1281.0,16231.0,Medium Poverty,0.0,2.8,0.0,510236000977,VA-143-1430310,5102360,VA-143,PK,4,Manassas city,9601 Prince William St,Manassas,VA,20110,Manassas city 9601 Prince William St Manassas VA 20110,,,4195.0,(571)377-6300,21,Suburb: Large,No,No,Yes,Yes,559,37.58,14.87,390,64,–,Regular,Open,manassas city,51683,48.57142857,34.14285714,46.85714286,70.0,38.28571429,53.85714286,49.42857143,53.42857143,-0.073691635,0.08063421271,0.1217117527,0.1655566539,0.06015079643,0.03926545643,0.3429615643,0.03365987029,41457
Manassas City Public Schools,MAYFIELD INTERMEDIATE,170.0,836.0,20.33,,,,,,,,,798.49,635.0,12903.0,13537.0,174.0,2122.0,2296.0,15833.0,877015.0,12642519.0,809.0,15025.0,Medium Poverty,0.0,1.9,0.0,510236002637,VA-143-1430080,5102360,VA-143,5,6,Manassas city,9400 Mayfield Court,Manassas,VA,20110,Manassas city 9400 Mayfield Court Manassas VA 20110,,,,(571)377-6600,21,Suburb: Large,No,No,No,†,802,52.65,15.23,469,80,–,Regular,Open,manassas city,51683,48.57142857,34.14285714,46.85714286,70.0,38.28571429,53.85714286,49.42857143,53.42857143,-0.073691635,0.08063421271,0.1217117527,0.1655566539,0.06015079643,0.03926545643,0.3429615643,0.03365987029,41457
Manassas City Public Schools,OSBOURN HIGH,715.0,2319.0,30.83,41,562,7.3,509,4,0,17,90.3,2257.47,479.0,11602.0,12081.0,174.0,2122.0,2296.0,14376.0,3743969.0,32454391.0,653.0,13724.0,Medium Poverty,4.6,20.3,2.0,510236000978,VA-143-1430370,5102360,VA-143,9,12,Manassas city,1977 Eagle Way,Manassas,VA,20110,Manassas city 1977 Eagle Way Manassas VA 20110,,,5756.0,(571)377-7000,21,Suburb: Large,No,No,No,†,2267,147.61,15.36,987,174,–,Regular,Open,manassas city,51683,48.57142857,34.14285714,46.85714286,70.0,38.28571429,53.85714286,49.42857143,53.42857143,-0.073691635,0.08063421271,0.1217117527,0.1655566539,0.06015079643,0.03926545643,0.3429615643,0.03365987029,41457
Manassas City Public Schools,RICHARD C. HAYDON ELEMENTARY,180.0,601.0,29.95,,,,,,,,,623.72,1156.0,11427.0,12583.0,174.0,2122.0,2296.0,14879.0,492987.0,9280271.0,1330.0,13549.0,Medium Poverty,2.7,0.0,0.0,510236001854,VA-143-1430020,5102360,VA-143,PK,4,Manassas city,9075 Park Ave,Manassas,VA,20110,Manassas city 9075 Park Ave Manassas VA 20110,,,4317.0,(571)377-6200,21,Suburb: Large,No,No,Yes,Yes,558,32.67,17.08,371,49,–,Regular,Open,manassas city,51683,48.57142857,34.14285714,46.85714286,70.0,38.28571429,53.85714286,49.42857143,53.42857143,-0.073691635,0.08063421271,0.1217117527,0.1655566539,0.06015079643,0.03926545643,0.3429615643,0.03365987029,41457
Manassas City Public Schools,WEEMS ELEMENTARY,155.0,560.0,27.68,,,,,,,,,620.51,958.0,11639.0,12597.0,174.0,2122.0,2296.0,14892.0,607210.0,9240910.0,1132.0,13761.0,Medium Poverty,3.6,0.0,0.0,510236000979,VA-143-1430010,5102360,VA-143,PK,4,Manassas city,8750 Weems Rd,Manassas,VA,20110,Manassas city 8750 Weems Rd Manassas VA 20110,,,4999.0,(571)377-6500,21,Suburb: Large,No,No,Yes,Yes,532,31.17,17.07,425,99,–,Regular,Open,manassas city,51683,48.57142857,34.14285714,46.85714286,70.0,38.28571429,53.85714286,49.42857143,53.42857143,-0.073691635,0.08063421271,0.1217117527,0.1655566539,0.06015079643,0.03926545643,0.3429615643,0.03365987029,41457
Manassas City Public Schools,GOVERNOR'S STEM ACADEMY AT OSBURN HIGH SCHOOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,510236003047,VA-143-1430380,5102360,VA-143,†,†,Manassas city,1977 Eagle Way,Manassas,VA,20110,Manassas city 1977 Eagle Way Manassas VA 20110,,,5756.0,(571)377-7000,21,Suburb: Large,No,No,No,†,†,–,†,†,†,†,Vocational,Open,manassas city,51683,48.57142857,34.14285714,46.85714286,70.0,38.28571429,53.85714286,49.42857143,53.42857143,-0.073691635,0.08063421271,0.1217117527,0.1655566539,0.06015079643,0.03926545643,0.3429615643,0.03365987029,41457
Manassas City Public Schools,GRACE E. METZ MIDDLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,510236002226,VA-143-1430070,5102360,VA-143,7,8,Manassas city,9950 Wellington Road,Manassas,VA,20110,Manassas city 9950 Wellington Road Manassas VA 20110,,,5895.0,(571)377-6800,21,Suburb: Large,No,No,No,†,1114,72.39,15.39,613,92,–,Regular,Open,manassas city,51683,48.57142857,34.14285714,46.85714286,70.0,38.28571429,53.85714286,49.42857143,53.42857143,-0.073691635,0.08063421271,0.1217117527,0.1655566539,0.06015079643,0.03926545643,0.3429615643,0.03365987029,41457
Manassas City Public Schools,JOSEPH B. JOHNSON LEARNING CENTER,,,,,,,,,,,,,,,,,,,,,,,,,,,,510236000738,VA-143-1430480,5102360,VA-143,†,†,Manassas city,9051 Tudor Ln,Manassas,VA,20110,Manassas city 9051 Tudor Ln Manassas VA 20110,,,5724.0,(571)377-7250,21,Suburb: Large,No,No,No,†,†,–,†,†,†,†,Other/Alternative,Open,manassas city,51683,48.57142857,34.14285714,46.85714286,70.0,38.28571429,53.85714286,49.42857143,53.42857143,-0.073691635,0.08063421271,0.1217117527,0.1655566539,0.06015079643,0.03926545643,0.3429615643,0.03365987029,41457
Manassas Park City Public Schools,COUGAR ELEMENTARY,253.0,686.0,36.88,,,,,,,,,842.44,386.0,7934.0,8320.0,551.0,3389.0,3940.0,12260.0,467116.0,10327917.0,937.0,11323.0,Medium Poverty,12.9,7.1,5.7,510239002292,VA-144-1440522,5102390,VA-144,PK,2,Manassas Park city,9330 Brandon St.,Manassas Park,VA,20111,Manassas Park city 9330 Brandon St. Manassas Park VA 20111,,,,(703)392-1317,21,Suburb: Large,No,No,Yes,Yes,840,55.99,15,541,82,–,Regular,Open,manassas park city,51685,59.5,44.5,61.0,78.0,46.0,47.5,67.0,65.5,0.234994255,0.0981777695,0.1558856065,0.21411355,0.068588631,0.041244373,0.306399545,0.0340756775,16423
Manassas Park City Public Schools,MANASSAS PARK ELEMENTARY,155.0,711.0,21.8,,,,,,,,,729.57,237.0,9750.0,9986.0,551.0,3389.0,3940.0,13926.0,402733.0,10160224.0,788.0,13139.0,Medium Poverty,10.3,5.2,3.4,510239000982,VA-144-1440420,5102390,VA-144,3,5,Manassas Park city,9298 Cougar Court,Manassas Park,VA,20111,Manassas Park city 9298 Cougar Court Manassas Park VA 20111,,,1899.0,(703)368-2032,21,Suburb: Large,No,No,Yes,Yes,737,54,13.65,481,82,–,Regular,Open,manassas park city,51685,59.5,44.5,61.0,78.0,46.0,47.5,67.0,65.5,0.234994255,0.0981777695,0.1558856065,0.21411355,0.068588631,0.041244373,0.306399545,0.0340756775,16423
Manassas Park City Public Schools,MANASSAS PARK HIGH,439.0,1092.0,40.2,26,306,8.5,259,1,0,3,84.5,1101.03,100.0,8429.0,8529.0,551.0,3389.0,3940.0,12469.0,588583.0,13728459.0,651.0,11818.0,Medium Poverty,15.8,11.8,6.6,510239000983,VA-144-1440030,5102390,VA-144,9,12,Manassas Park city,8200 Euclid Ave,Manassas Park,VA,20111,Manassas Park city 8200 Euclid Ave Manassas Park VA 20111,,,2394.0,(703)361-9131,21,Suburb: Large,No,No,No,†,1122,62,18.1,564,88,–,Regular,Open,manassas park city,51685,59.5,44.5,61.0,78.0,46.0,47.5,67.0,65.5,0.234994255,0.0981777695,0.1558856065,0.21411355,0.068588631,0.041244373,0.306399545,0.0340756775,16423
Manassas Park City Public Schools,MANASSAS PARK MIDDLE,224.0,737.0,30.39,,,,,,,,,795.74,125.0,9094.0,9219.0,551.0,3389.0,3940.0,13159.0,429827.0,10471091.0,676.0,12483.0,Medium Poverty,18.2,12.1,6.1,510239002227,VA-144-1440031,5102390,VA-144,6,8,Manassas Park city,8202 Euclid Ave,Manassas Park,VA,20111,Manassas Park city 8202 Euclid Ave Manassas Park VA 20111,,,2394.0,(703)361-1510,21,Suburb: Large,No,No,No,†,809,63,12.84,484,90,–,Regular,Open,manassas park city,51685,59.5,44.5,61.0,78.0,46.0,47.5,67.0,65.5,0.234994255,0.0981777695,0.1558856065,0.21411355,0.068588631,0.041244373,0.306399545,0.0340756775,16423
Martinsville City Public Schools,ALBERT HARRIS ELEMENTARY,73.0,408.0,17.89,,,,,,,,,397.75,2239.0,7080.0,9319.0,809.0,4171.0,4980.0,14298.0,0.0,5687227.0,3048.0,11251.0,High Poverty,10.3,7.7,0.0,510240002616,VA-116-1160222,5102400,VA-116,KG,5,Martinsville city,710 Smith Road,Martinsville,VA,24112,Martinsville city 710 Smith Road Martinsville VA 24112,,,,(276)403-5838,32,Town: Distant,No,No,Yes,Yes,403,29.5,13.66,400,0,–,Regular,Open,martinsville city,51690,75.6,80.4,79.2,72.6,78.8,66.0,9.6,67.6,0.802593796,0.263731846,0.254376038,0.1811397584,0.0804526698,0.1494369568,0.435881882,0.0030790762,13101
Martinsville City Public Schools,MARTINSVILLE HIGH,146.0,564.0,25.89,15,138,10.87,118,2,0,4,87.4,542.75,730.0,7910.0,8640.0,809.0,4171.0,4980.0,13620.0,363280.0,7392155.0,1539.0,12081.0,High Poverty,8.0,22.0,4.0,510240000988,VA-116-1160110,5102400,VA-116,9,12,Martinsville city,351 Commonwealth Blvd,Martinsville,VA,24112,Martinsville city 351 Commonwealth Blvd Martinsville VA 24112,,,,(276)403-5870,32,Town: Distant,No,No,No,†,556,40.88,13.6,553,0,–,Regular,Open,martinsville city,51690,75.6,80.4,79.2,72.6,78.8,66.0,9.6,67.6,0.802593796,0.263731846,0.254376038,0.1811397584,0.0804526698,0.1494369568,0.435881882,0.0030790762,13101
Martinsville City Public Schools,MARTINSVILLE MIDDLE,38.0,397.0,9.57,,,,,,,,,400.76,896.0,8866.0,9762.0,809.0,4171.0,4980.0,14741.0,0.0,5907735.0,1705.0,13037.0,High Poverty,5.3,10.5,2.6,510240000989,VA-116-1160010,5102400,VA-116,6,8,Martinsville city,201 Brown St.,Martinsville,VA,24112,Martinsville city 201 Brown St. Martinsville VA 24112,,,,(276)403-5886,32,Town: Distant,No,No,Yes,Yes,402,30.56,13.15,399,0,–,Regular,Open,martinsville city,51690,75.6,80.4,79.2,72.6,78.8,66.0,9.6,67.6,0.802593796,0.263731846,0.254376038,0.1811397584,0.0804526698,0.1494369568,0.435881882,0.0030790762,13101
Martinsville City Public Schools,PATRICK HENRY ELEMENTARY,46.0,338.0,13.61,,,,,,,,,360.92,1706.0,7120.0,8826.0,809.0,4171.0,4980.0,13806.0,0.0,4982864.0,2515.0,11291.0,High Poverty,11.8,0.0,0.0,510240002617,VA-116-1160223,5102400,VA-116,KG,5,Martinsville city,1810 Church Street Ext.,Martinsville,VA,24112,Martinsville city 1810 Church Street Ext. Martinsville VA 24112,,,,(276)403-5812,32,Town: Distant,No,No,Yes,Yes,359,24.5,14.65,356,0,–,Regular,Open,martinsville city,51690,75.6,80.4,79.2,72.6,78.8,66.0,9.6,67.6,0.802593796,0.263731846,0.254376038,0.1811397584,0.0804526698,0.1494369568,0.435881882,0.0030790762,13101
Martinsville City Public Schools,CLEARVIEW EARLY LEARNING CENTER,,,,,,,,,,,,,,,,,,,,,,,,,,,,510240002618,VA-116-1160224,5102400,VA-116,PK,PK,Martinsville city,800 Ainsley Street,Martinsville,VA,24112,Martinsville city 800 Ainsley Street Martinsville VA 24112,,,,(276)403-5800,32,Town: Distant,No,No,No,†,97,9,10.78,94,0,–,Regular,Open,martinsville city,51690,75.6,80.4,79.2,72.6,78.8,66.0,9.6,67.6,0.802593796,0.263731846,0.254376038,0.1811397584,0.0804526698,0.1494369568,0.435881882,0.0030790762,13101
Mathews County Public Schools,MATHEWS ELEMENTARY,68.0,298.0,22.82,,,,,,,,,322.36,1850.0,11200.0,13050.0,74.0,4323.0,4397.0,17447.0,0.0,5624069.0,1924.0,15523.0,Medium Poverty,0.0,3.2,0.0,510243001388,VA-057-0570291,5102430,VA-057,PK,4,Mathews County,P O Box 219,Mathews,VA,23109,Mathews County P O Box 219 Mathews VA 23109,,,,(804)725-2580,42,Rural: Distant,No,No,Yes,Yes,319,32.08,9.94,140,29,–,Regular,Open,mathews county,51115,25.0,49.5,11.5,47.5,32.0,14.5,17.0,23.0,-0.772212625,0.07203087,0.02849236867,0.064297435,0.01897623667,0.01828429967,0.08543594667,0.003187384767,8796
Mathews County Public Schools,MATHEWS HIGH,101.0,301.0,33.55,0,70,0,66,3,0,1,95.8,286.25,106.0,14072.0,14178.0,74.0,4323.0,4397.0,18575.0,134476.0,5316997.0,180.0,18395.0,Medium Poverty,0.0,0.0,0.0,510243000993,VA-057-0570190,5102430,VA-057,9,12,Mathews County,PO Box 38,Mathews,VA,23109,Mathews County PO Box 38 Mathews VA 23109,,,,(804)725-3702,42,Rural: Distant,No,No,No,†,293,29.7,9.87,115,25,–,Regular,Open,mathews county,51115,25.0,49.5,11.5,47.5,32.0,14.5,17.0,23.0,-0.772212625,0.07203087,0.02849236867,0.064297435,0.01897623667,0.01828429967,0.08543594667,0.003187384767,8796
Mathews County Public Schools,THOMAS HUNTER MIDDLE,67.0,278.0,24.1,,,,,,,,,292.65,94.0,11682.0,11776.0,74.0,4323.0,4397.0,16173.0,7680.0,4732934.0,168.0,16005.0,Medium Poverty,7.4,0.0,0.0,510243000994,VA-057-0570100,5102430,VA-057,5,8,Mathews County,PO Box 339,Mathews,VA,23109,Mathews County PO Box 339 Mathews VA 23109,,,,(804)725-2434,42,Rural: Distant,No,No,No,†,291,24.92,11.68,121,24,–,Regular,Open,mathews county,51115,25.0,49.5,11.5,47.5,32.0,14.5,17.0,23.0,-0.772212625,0.07203087,0.02849236867,0.064297435,0.01897623667,0.01828429967,0.08543594667,0.003187384767,8796
Mecklenburg County Public Schools,CHASE CITY ELEMENTARY,86.0,333.0,25.83,,,,,,,,,365.65,2884.0,9390.0,12274.0,461.0,3931.0,4392.0,16666.0,0.0,6093956.0,3345.0,13321.0,Medium Poverty,0.0,0.0,0.0,510246001002,VA-058-0580910,5102460,VA-058,PK,5,Mecklenburg County,5450 Highway Forty-Seven,Chase City,VA,23924,Mecklenburg County 5450 Highway Forty-Seven Chase City VA 23924,,,,(434)372-4770,33,Town: Remote,No,No,Yes,Yes,371,30.33,12.23,327,0,–,Regular,Open,mecklenburg county,51117,61.44444444,69.22222222,47.33333333,77.66666667,63.0,42.55555556,35.88888889,40.33333333,0.3114665667,0.1761536963,0.1241874966,0.1907488567,0.04510901689,0.08317405633,0.2733084478,0.01416010697,30847
Mecklenburg County Public Schools,CLARKSVILLE ELEMENTARY,121.0,402.0,30.1,,,,,,,,,422.91,2481.0,7594.0,10075.0,461.0,3931.0,4392.0,14467.0,0.0,6118434.0,2942.0,11525.0,Medium Poverty,5.6,5.6,2.8,510246001004,VA-058-0581000,5102460,VA-058,PK,5,Mecklenburg County,1696 Noblin Farm Road,Clarksville,VA,23927,Mecklenburg County 1696 Noblin Farm Road Clarksville VA 23927,,,,(434)374-8668,43,Rural: Remote,No,No,Yes,Yes,422,32.88,12.83,377,0,–,Regular,Open,mecklenburg county,51117,61.44444444,69.22222222,47.33333333,77.66666667,63.0,42.55555556,35.88888889,40.33333333,0.3114665667,0.1761536963,0.1241874966,0.1907488567,0.04510901689,0.08317405633,0.2733084478,0.01416010697,30847
Mecklenburg County Public Schools,MECKLENBURG COUNTY HIGH,357.0,1100.0,32.45,10,288,3.47,268,2,3,7,93.6,,,,,,,,,,,,,Medium Poverty,6.6,17.6,6.6,510246003090,VA-058-0581041,5102460,VA-058,9,12,Mecklenburg County,25001 Hwy 58,Baskerville,VA,23915,Mecklenburg County 25001 Hwy 58 Baskerville VA 23915,,,,(434)738-6111,42,Rural: Distant,No,†,†,†,†,†,†,†,†,†,Regular,New,mecklenburg county,51117,61.44444444,69.22222222,47.33333333,77.66666667,63.0,42.55555556,35.88888889,40.33333333,0.3114665667,0.1761536963,0.1241874966,0.1907488567,0.04510901689,0.08317405633,0.2733084478,0.01416010697,30847
Mecklenburg County Public Schools,MECKLENBURG COUNTY MIDDLE,315.0,864.0,36.46,,,,,,,,,,,,,,,,,,,,,Medium Poverty,2.5,9.9,2.5,510246003089,VA-058-0581040,5102460,VA-058,6,8,Mecklenburg County,24999 Hwy 58,Baskerville,VA,23915,Mecklenburg County 24999 Hwy 58 Baskerville VA 23915,,,,(434)738-6111,42,Rural: Distant,No,†,†,†,†,†,†,†,†,†,Regular,New,mecklenburg county,51117,61.44444444,69.22222222,47.33333333,77.66666667,63.0,42.55555556,35.88888889,40.33333333,0.3114665667,0.1761536963,0.1241874966,0.1907488567,0.04510901689,0.08317405633,0.2733084478,0.01416010697,30847
Mecklenburg County Public Schools,SOUTH HILL ELEMENTARY,130.0,649.0,20.03,,,,,,,,,737.73,1841.0,6913.0,8754.0,461.0,3931.0,4392.0,13146.0,0.0,9698260.0,2302.0,10844.0,Medium Poverty,3.4,5.2,3.4,510246001009,VA-058-0580190,5102460,VA-058,PK,5,Mecklenburg County,1290 Plank Road,South Hill,VA,23970,Mecklenburg County 1290 Plank Road South Hill VA 23970,,,,(434)447-8134,41,Rural: Fringe,No,No,Yes,Yes,749,53.88,13.9,612,0,–,Regular,Open,mecklenburg county,51117,61.44444444,69.22222222,47.33333333,77.66666667,63.0,42.55555556,35.88888889,40.33333333,0.3114665667,0.1761536963,0.1241874966,0.1907488567,0.04510901689,0.08317405633,0.2733084478,0.01416010697,30847
Mecklenburg County Public Schools,LACROSSE ELEMENTARY,,,,,,,,,,,,,,,,,,,,,,,,,,,,510246001006,VA-058-0581020,5102460,VA-058,PK,5,Mecklenburg County,1000 School Circle,La Crosse,VA,23950,Mecklenburg County 1000 School Circle La Crosse VA 23950,,,,(434)757-7374,41,Rural: Fringe,No,No,Yes,Yes,348,33.92,10.26,345,0,–,Regular,Open,mecklenburg county,51117,61.44444444,69.22222222,47.33333333,77.66666667,63.0,42.55555556,35.88888889,40.33333333,0.3114665667,0.1761536963,0.1241874966,0.1907488567,0.04510901689,0.08317405633,0.2733084478,0.01416010697,30847
